FigA,,Years until 20% infected with only hrp2 deletions,PfPR,ft,PfPR_grouped,lessthan5, 20+,FigB,,Years.until.20..infected.with.only.hrp2.deletions,hrp2d,PfPR,ft,PfPR_grouped,lessthan5, 20+
,132,6.716666667,0.396121088,0.4,0.35 - 0.4,FALSE,NA,,132,8.833333333,0.91277578,0.396121088,0.4,0.35 - 0.4,FALSE,NA
,133,7.108333333,0.414291429,0.4,0.4 - 0.45,FALSE,NA,,133,9.35,0.878922158,0.414291429,0.4,0.4 - 0.45,FALSE,NA
,134,7.275,0.433492721,0.4,0.4 - 0.45,FALSE,NA,,134,9.75,0.845793041,0.433492721,0.4,0.4 - 0.45,FALSE,NA
,135,7.941666667,0.453477415,0.4,0.45 - 0.5,FALSE,NA,,135,10.88333333,0.786977661,0.453477415,0.4,0.45 - 0.5,FALSE,NA
,136,8.3,0.471538435,0.4,0.45 - 0.5,FALSE,NA,,136,11.175,0.762067884,0.471538435,0.4,0.45 - 0.5,FALSE,NA
,137,8.916666667,0.493678435,0.4,0.45 - 0.5,FALSE,NA,,137,12.60833333,0.68539801,0.493678435,0.4,0.45 - 0.5,FALSE,NA
,138,9.291666667,0.506555646,0.4,0.5 - 0.55,FALSE,NA,,138,12.46666667,0.679270033,0.506555646,0.4,0.5 - 0.55,FALSE,NA
,139,10.225,0.526505238,0.4,0.5 - 0.55,FALSE,NA,,139,13.78333333,0.611232663,0.526505238,0.4,0.5 - 0.55,FALSE,NA
,140,11.29166667,0.54888585,0.4,0.5 - 0.55,FALSE,NA,,140,14.925,0.557100067,0.54888585,0.4,0.5 - 0.55,FALSE,NA
,141,11.90833333,0.565700884,0.4,0.55 - 0.6,FALSE,NA,,141,15.81666667,0.511024164,0.565700884,0.4,0.55 - 0.6,FALSE,NA
,142,12.69166667,0.579185646,0.4,0.55 - 0.6,FALSE,NA,,142,16.525,0.491015921,0.579185646,0.4,0.55 - 0.6,FALSE,NA
,143,13.725,0.594416531,0.4,0.55 - 0.6,FALSE,NA,,143,17.61666667,0.449616495,0.594416531,0.4,0.55 - 0.6,FALSE,NA
,144,14.53333333,0.61571585,0.4,0.6 - 0.65,FALSE,NA,,144,NA,0.382740978,0.61571585,0.4,0.6 - 0.65,NA,NA
,145,15.81666667,0.633161224,0.4,0.6 - 0.65,FALSE,NA,,145,NA,0.367487411,0.633161224,0.4,0.6 - 0.65,NA,NA
,146,17.53333333,0.649836259,0.4,0.6 - 0.65,FALSE,NA,,146,NA,0.337067968,0.649836259,0.4,0.6 - 0.65,NA,NA
,147,NA,0.666191905,0.4,0.65 - 0.7,NA,NA,,147,NA,0.288531027,0.666191905,0.4,0.65 - 0.7,NA,NA
,148,NA,0.678238231,0.4,0.65 - 0.7,NA,NA,,148,NA,0.28446514,0.678238231,0.4,0.65 - 0.7,NA,NA
,149,NA,0.695221633,0.4,0.65 - 0.7,NA,NA,,149,NA,0.260772166,0.695221633,0.4,0.65 - 0.7,NA,NA
,150,NA,0.708864354,0.4,0.7 - 0.75,NA,NA,,150,NA,0.240012463,0.708864354,0.4,0.7 - 0.75,NA,NA
,151,NA,0.724037483,0.4,0.7 - 0.75,NA,NA,,151,NA,0.218242326,0.724037483,0.4,0.7 - 0.75,NA,NA
,152,NA,0.734787687,0.4,0.7 - 0.75,NA,NA,,152,NA,0.217962889,0.734787687,0.4,0.7 - 0.75,NA,NA
,153,NA,0.746673401,0.4,0.7 - 0.75,NA,NA,,153,NA,0.179117741,0.746673401,0.4,0.7 - 0.75,NA,NA
,154,NA,0.762752789,0.4,0.75 - 0.8,NA,NA,,154,NA,0.178260383,0.762752789,0.4,0.75 - 0.8,NA,NA
,155,NA,0.77421619,0.4,0.75 - 0.8,NA,NA,,155,NA,0.163885331,0.77421619,0.4,0.75 - 0.8,NA,NA
,156,NA,0.790143605,0.4,0.75 - 0.8,NA,NA,,156,NA,0.154596346,0.790143605,0.4,0.75 - 0.8,NA,NA
,157,NA,0.797535238,0.4,0.75 - 0.8,NA,NA,,157,NA,0.139234375,0.797535238,0.4,0.75 - 0.8,NA,NA
,158,NA,0.807869116,0.4,0.8 - 1.0,NA,NA,,158,NA,0.138974499,0.807869116,0.4,0.8 - 1.0,NA,NA
,159,NA,0.819423401,0.4,0.8 - 1.0,NA,NA,,159,NA,0.125816246,0.819423401,0.4,0.8 - 1.0,NA,NA
,160,NA,0.82828966,0.4,0.8 - 1.0,NA,NA,,160,NA,0.127998457,0.82828966,0.4,0.8 - 1.0,NA,NA
,161,NA,0.839663946,0.4,0.8 - 1.0,NA,NA,,161,NA,0.122109219,0.839663946,0.4,0.8 - 1.0,NA,NA
,162,NA,0.845736939,0.4,0.8 - 1.0,NA,NA,,162,NA,0.115752001,0.845736939,0.4,0.8 - 1.0,NA,NA
,163,NA,0.853865714,0.4,0.8 - 1.0,NA,NA,,163,NA,0.117600676,0.853865714,0.4,0.8 - 1.0,NA,NA
,164,NA,0.86327517,0.4,0.8 - 1.0,NA,NA,,164,NA,0.110434763,0.86327517,0.4,0.8 - 1.0,NA,NA
,165,NA,0.870447143,0.4,0.8 - 1.0,NA,NA,,165,NA,0.104677131,0.870447143,0.4,0.8 - 1.0,NA,NA
,167,1.85,0.086347891,0.5,0.0 - 0.15,TRUE,NA,,167,2.758333333,0.99978955,0.086347891,0.5,0.0 - 0.15,TRUE,NA
,168,2.125,0.096728367,0.5,0.0 - 0.15,TRUE,NA,,168,2.65,0.99998759,0.096728367,0.5,0.0 - 0.15,TRUE,NA
,169,1.991666667,0.109269048,0.5,0.0 - 0.15,TRUE,NA,,169,2.666666667,1,0.109269048,0.5,0.0 - 0.15,TRUE,NA
,170,2.3,0.117255374,0.5,0.0 - 0.15,TRUE,NA,,170,2.791666667,1,0.117255374,0.5,0.0 - 0.15,TRUE,NA
,171,2.425,0.135313401,0.5,0.0 - 0.15,TRUE,NA,,171,3.35,0.999880988,0.135313401,0.5,0.0 - 0.15,TRUE,NA
,172,2.275,0.13663517,0.5,0.0 - 0.15,TRUE,NA,,172,3,0.999990835,0.13663517,0.5,0.0 - 0.15,TRUE,NA
,173,2.366666667,0.142203401,0.5,0.0 - 0.15,TRUE,NA,,173,3.075,0.999923558,0.142203401,0.5,0.0 - 0.15,TRUE,NA
,174,2.608333333,0.167571361,0.5,0.15 - 0.2,TRUE,NA,,174,3.691666667,0.999977483,0.167571361,0.5,0.15 - 0.2,TRUE,NA
,175,2.858333333,0.173885102,0.5,0.15 - 0.2,TRUE,NA,,175,3.55,0.999877191,0.173885102,0.5,0.15 - 0.2,TRUE,NA
,176,2.716666667,0.186988776,0.5,0.15 - 0.2,TRUE,NA,,176,3.766666667,0.999793148,0.186988776,0.5,0.15 - 0.2,TRUE,NA
,177,2.8,0.195863741,0.5,0.15 - 0.2,TRUE,NA,,177,3.858333333,0.999768436,0.195863741,0.5,0.15 - 0.2,TRUE,NA
,178,3.008333333,0.210501837,0.5,0.2 - 0.25,TRUE,NA,,178,3.991666667,0.999478833,0.210501837,0.5,0.2 - 0.25,TRUE,NA
,179,3.291666667,0.227914286,0.5,0.2 - 0.25,TRUE,NA,,179,4.283333333,0.999168327,0.227914286,0.5,0.2 - 0.25,TRUE,NA
,180,3.283333333,0.237929728,0.5,0.2 - 0.25,TRUE,NA,,180,4.35,0.998752186,0.237929728,0.5,0.2 - 0.25,TRUE,NA
,181,3.533333333,0.260912041,0.5,0.25 - 0.3,TRUE,NA,,181,4.908333333,0.997974653,0.260912041,0.5,0.25 - 0.3,TRUE,NA
