Observed,Province,fT,PCR.05.U95,PCR.05.L95,propDel.U95,propDel.L95,PCR.05,propDel,FigA,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province,FigB,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province
,,,,,,,,,,51.02669941,4.263616626,Maniema,,49.9095654,2.720558133,Maniema
,,,,,,,,,,36.11849803,5.833719361,Mongala,,34.75278349,3.479518849,Mongala
,,,,,,,,,,12.08465498,19.00670252,North-Kivu,,10.80840828,4.001736216,North-Kivu
,,,,,,,,,,60.35337553,3.09359679,Nord-Ubangi,,59.60471384,2.248500772,Nord-Ubangi
,,,,,,,,,,26.35895786,6.138021017,Sankuru,,26.11696523,3.561500203,Sankuru
,,,,,,,,,,14.92105967,24.92771345,South-Kivu,,13.35845896,3.480081762,South-Kivu
,,,,,,,,,,30.65525876,5.214233296,Sud-Ubangi,,30.16270338,3.692132478,Sud-Ubangi
,,,,,,,,,,62.11856788,2.898937802,Tanganyka,,62.02497865,2.416293241,Tanganyka
,,,,,,,,,,46.19675721,4.518854101,Tshopo,,45.95557418,3.238521822,Tshopo
,,,,,,,,,,27.34706882,6.249046568,Tshuapa,,26.48278061,2.914449961,Tshuapa
,,,,,,,,,,68.23467509,2.50213666,Bas-Uele,,68.23948831,2.418309959,Bas-Uele
,,,,,,,,,,22.59576962,7.176000498,Equateur,,22.41949887,4.222958636,Equateur
,,,,,,,,,,32.69829542,5.462582758,Haut-Katanga,,31.91433521,2.805886308,Haut-Katanga
,,,,,,,,,,43.2965546,5.506202939,Haut-Lomami,,42.62526834,3.14902771,Haut-Lomami
,,,,,,,,,,57.75638652,3.405274212,Haut-Uele,,57.80790248,2.308602412,Haut-Uele
,,,,,,,,,,43.28295106,3.860063453,Ituri,,42.59530792,3.204817423,Ituri
,,,,,,,,,,35.39758153,5.153541943,Kasai,,34.94052339,3.479717896,Kasai
,,,,,,,,,,51.7103673,3.87857891,Kasai-Central,,50.44363942,3.07615369,Kasai-Central
,,,,,,,,,,36.87698972,5.240693391,Kasai-Oriental,,37.36405036,3.365664555,Kasai-Oriental
,,,,,,,,,,25.11830897,6.408931922,Kinshasa,,24.51220812,3.79438956,Kinshasa
,,,,,,,,,,43.98592954,4.550411664,Kongo Central,,43.40034284,3.070472983,Kongo Central
,,,,,,,,,,19.82204907,11.1008789,Kwango,,18.64504016,3.465943955,Kwango
,,,,,,,,,,19.24926809,7.506844727,Kwilu,,18.46499009,5.156453113,Kwilu
,,,,,,,,,,64.08361486,2.769463694,Lomami,,63.17841711,2.277609467,Lomami
,,,,,,,,,,45.70566757,4.952493856,Lualaba,,44.65118745,2.885744632,Lualaba
,,,,,,,,,,44.4957014,4.837054859,Mai-Ndombe,,43.26375712,3.343784751,Mai-Ndombe
,,,,,,,,,,51.75493576,4.140182651,Maniema,,51.18588558,2.665984787,Maniema
,,,,,,,,,,36.74408872,5.960452148,Mongala,,35.2604194,3.129278126,Mongala
,,,,,,,,,,12.42043243,17.35339822,North-Kivu,,10.67150063,3.784555281,North-Kivu
,,,,,,,,,,60.44407029,3.002043158,Nord-Ubangi,,59.61946152,2.660497634,Nord-Ubangi
,,,,,,,,,,26.68786433,5.669801182,Sankuru,,25.8595155,2.911305193,Sankuru
,,,,,,,,,,14.72782682,20.68883974,South-Kivu,,12.90407636,4.665021005,South-Kivu
,,,,,,,,,,30.07833175,5.554401066,Sud-Ubangi,,29.90763351,3.178999157,Sud-Ubangi
,,,,,,,,,,61.62618796,2.963828702,Tanganyka,,61.98268581,2.555405629,Tanganyka
,,,,,,,,,,46.19596392,4.228638516,Tshopo,,45.70361146,3.228048732,Tshopo
,,,,,,,,,,26.9103687,5.855846031,Tshuapa,,26.54524214,3.888637548,Tshuapa
,,,,,,,,,,68.05924196,2.58132175,Bas-Uele,,68.15648389,2.18104193,Bas-Uele
,,,,,,,,,,23.66814066,5.711108131,Equateur,,22.99868248,3.839632843,Equateur
,,,,,,,,,,32.20338983,6.379081467,Haut-Katanga,,31.20995694,2.879436908,Haut-Katanga
,,,,,,,,,,43.19589266,4.909116481,Haut-Lomami,,41.88976378,2.8139101,Haut-Lomami
,,,,,,,,,,57.67993673,3.285826802,Haut-Uele,,57.54422477,2.581601564,Haut-Uele
,,,,,,,,,,43.26816086,3.760080782,Ituri,,43.45370077,3.241391276,Ituri
,,,,,,,,,,35.16489278,6.960511149,Kasai,,33.96731851,3.361938182,Kasai
,,,,,,,,,,51.66525693,3.643788162,Kasai-Central,,50.6981172,3.208344178,Kasai-Central
,,,,,,,,,,37.16776972,5.024271931,Kasai-Oriental,,36.49174466,3.379807216,Kasai-Oriental
,,,,,,,,,,24.62989992,6.531855889,Kinshasa,,24.29522522,4.02831037,Kinshasa
,,,,,,,,,,43.57013911,5.13666763,Kongo Central,,42.29251092,3.064461797,Kongo Central
,,,,,,,,,,19.93754879,11.61121687,Kwango,,18.66631523,3.509886644,Kwango
,,,,,,,,,,19.47859262,7.60056798,Kwilu,,18.84852281,3.491067569,Kwilu
,,,,,,,,,,63.86760324,2.841278765,Lomami,,63.26476793,2.70028,Lomami
,,,,,,,,,,45.59040202,4.598386222,Lualaba,,44.74685551,3.332825249,Lualaba
,,,,,,,,,,44.60807353,5.193715223,Mai-Ndombe,,43.92449656,3.477992991,Mai-Ndombe
,,,,,,,,,,50.75873738,4.438438419,Maniema,,50.27507406,2.834902941,Maniema
,,,,,,,,,,37.38540426,5.697341345,Mongala,,36.01776849,4.186991829,Mongala
,,,,,,,,,,12.08411802,20.22628892,North-Kivu,,10.89962669,3.596236306,North-Kivu
,,,,,,,,,,60.01463134,3.397832468,Nord-Ubangi,,59.61184453,2.546626195,Nord-Ubangi
,,,,,,,,,,27.51110171,5.771120428,Sankuru,,25.80081538,4.202403781,Sankuru
,,,,,,,,,,14.67832278,17.01695753,South-Kivu,,13.03981905,4.618019359,South-Kivu
,,,,,,,,,,31.01666933,5.961247226,Sud-Ubangi,,29.97630956,3.627676515,Sud-Ubangi
,,,,,,,,,,62.2274757,3.101985767,Tanganyka,,61.84795689,2.330800543,Tanganyka
,,,,,,,,,,46.60718971,5.370758919,Tshopo,,46.05172687,3.269621035,Tshopo
,,,,,,,,,,27.17970137,6.942572835,Tshuapa,,26.6025641,3.090726302,Tshuapa
,,,,,,,,,,68.4663289,2.610562081,Bas-Uele,,67.86925196,2.330930085,Bas-Uele
,,,,,,,,,,23.52285396,6.200195038,Equateur,,23.12674425,3.181512017,Equateur
,,,,,,,,,,32.81540012,6.550162951,Haut-Katanga,,32.44568656,4.118949225,Haut-Katanga
,,,,,,,,,,43.15838558,5.081964852,Haut-Lomami,,42.04141393,3.034016582,Haut-Lomami
,,,,,,,,,,57.85128313,3.351347304,Haut-Uele,,57.86893025,2.567429312,Haut-Uele
,,,,,,,,,,43.27301756,4.609484466,Ituri,,42.23326636,2.939899339,Ituri
